datetime,tempmax,Forecast
2021-10-12,20.5,20.554797675686068
2021-10-13,22.5,22.084782672253542
2021-10-14,19.7,19.86779460205093
2021-10-15,22.6,22.119559193022038
2021-10-16,22.1,21.578806065305464
2021-10-17,20.6,20.398443059680503
2021-10-18,20.9,20.459468708883993
2021-10-19,20.4,20.11494447584213
2021-10-20,20.3,20.18081041345579
2021-10-21,21.7,21.43437928637475
2021-10-22,24.7,23.88025991068128
2021-10-23,25.9,24.763471136159986
2021-10-24,22.5,22.21881296967475
2021-10-25,16.7,17.44308968558127
2021-10-26,18.3,18.875582129138053
2021-10-27,19.0,19.358463892917
2021-10-28,18.4,18.83076787105053
2021-10-29,18.4,18.756237024767636
2021-10-30,18.5,18.651248654434223
2021-10-31,18.3,18.462087062544505
2021-11-01,19.8,19.629398289397805
2021-11-02,21.5,21.132314785740313
2021-11-03,24.1,23.19273717734398
2021-11-04,23.6,22.658310684705942
2021-11-05,24.0,22.97397927274516
2021-11-06,23.1,22.293650524632223
2021-11-07,22.8,22.353985268689865
2021-11-08,21.5,21.362104325612368
2021-11-09,19.9,19.94085652653244
2021-11-10,18.2,18.372700016832773
2021-11-11,16.0,16.427044794680413
2021-11-12,18.1,18.091949811137436
2021-11-13,17.8,17.886549449979327
2021-11-14,17.9,17.947408299167712
2021-11-15,17.9,17.82106274997569
2021-11-16,17.1,17.1794574835046
2021-11-17,15.1,15.402787972968897
2021-11-18,17.8,17.593708495915905
2021-11-19,14.0,14.604784750636473
2021-11-20,15.6,15.984162707754626
2021-11-21,19.0,18.75731684860269
2021-11-22,19.8,19.316353643452718
2021-11-23,19.8,19.369218443456298
2021-11-24,15.0,15.476870188792219
2021-11-25,14.9,15.487686615602174
2021-11-26,17.3,17.37982179714551
2021-11-27,20.1,19.62218120696251
2021-11-28,20.3,19.810678639553437
2021-11-29,21.3,20.50388090772912
2021-11-30,16.5,16.7680693687788
2021-12-01,16.1,16.41506216790121
2021-12-02,17.2,17.42010932160517
2021-12-03,19.2,19.0255665185074
2021-12-04,17.4,17.416632871386604
2021-12-05,17.5,17.430508155647598
2021-12-06,19.1,18.63822959086861
2021-12-07,15.0,15.50591977442199
2021-12-08,15.0,15.447474715731575
2021-12-09,18.7,18.26936036879553
2021-12-10,17.4,17.10164269327681
2021-12-11,17.0,16.691957242021534
2021-12-12,17.7,17.261138873060965
2021-12-13,14.9,15.089249356321906
2021-12-14,9.3,10.305697157348623
2021-12-15,10.0,10.744079335894188
2021-12-16,11.9,12.268749459660992
2021-12-17,12.0,12.198481880973633
2021-12-18,9.9,10.422692406213535
2021-12-19,8.0,8.784216020489898
2021-12-20,14.1,13.823188284677927
2021-12-21,10.3,10.742330169815697
2021-12-22,10.6,10.859472226140616
2021-12-23,10.4,10.627830937391865
2021-12-24,14.4,13.70749458920686
2021-12-25,16.0,15.084155227256202
2021-12-26,18.1,16.677516528023638
2021-12-27,17.5,16.38436187656739
2021-12-28,16.5,15.72160886793161
2021-12-29,15.3,14.761629189186076
2021-12-30,13.1,13.0794561695549
2021-12-31,14.4,14.118131918893702
2022-01-01,17.5,18.496000955900175
2022-01-02,17.9,18.075532949429263
2022-01-03,18.0,17.91599608616183
2022-01-04,17.6,17.72497398556602
2022-01-05,18.0,18.11076893368522
2022-01-06,17.8,17.97491044209717
2022-01-07,17.9,17.920966717966095
2022-01-08,14.8,15.216301516162495
2022-01-09,13.3,13.969076604682964
2022-01-10,13.5,14.082263834099122
2022-01-11,12.9,13.59472086704155
2022-01-12,8.7,9.796972166610143
2022-01-13,5.0,6.252573379531018
2022-01-14,10.0,10.53987591334239
2022-01-15,13.9,13.647733801390437
2022-01-16,9.9,10.342996686708355
2022-01-17,13.9,13.379849477421422
2022-01-18,11.8,11.752660537198025
2022-01-19,8.4,8.999628535013832
2022-01-20,14.0,13.507638732012706
2022-01-21,15.5,14.574299609741757
2022-01-22,10.8,10.832146797182652
2022-01-23,5.4,6.143181047035605
2022-01-24,2.0,2.9190562280449774
2022-01-25,3.3,4.055863521922561
2022-01-26,5.4,5.825517517864785
2022-01-27,10.7,9.983927374166068
2022-01-28,13.2,11.536984055203662
2022-01-29,8.8,8.37798692721843
2022-01-30,11.5,10.397252284785113
2022-01-31,13.7,12.02958063025075
2022-02-01,16.5,14.095446157352017
2022-02-02,13.1,11.827909169030857
2022-02-03,9.2,9.062842752852504
2022-02-04,11.4,10.796095215080818
